date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:29	36183/36183	---M--	200	added ('OK')	text/html	etag:%22292dc-8d57-0%22	http://cablegate.wikileaks.org/cable/2009/09/09BERLIN1197.html	cablegate.wikileaks.org/cable/2009/09/09BERLIN1197.html	(from http://cablegate.wikileaks.org/)
15:47:29	30934/30934	---M--	200	added ('OK')	text/html	etag:%22199ea-78d6-0%22	http://cablegate.wikileaks.org/cable/2009/09/09TRIPOLI771.html	cablegate.wikileaks.org/cable/2009/09/09TRIPOLI771.html	(from http://cablegate.wikileaks.org/)
15:47:29	23760/23760	---M--	200	added ('OK')	text/html	etag:%224004114-5cd0-0%22	http://cablegate.wikileaks.org/cable/2009/10/09PRAGUE589.html	cablegate.wikileaks.org/cable/2009/10/09PRAGUE589.html	(from http://cablegate.wikileaks.org/)
15:47:30	29735/29735	---M--	200	added ('OK')	text/html	etag:%22400410f-7427-0%22	http://cablegate.wikileaks.org/cable/2009/10/09KABUL3068.html	cablegate.wikileaks.org/cable/2009/10/09KABUL3068.html	(from http://cablegate.wikileaks.org/)
15:47:30	51298/51298	---M--	200	added ('OK')	text/html	etag:%224004111-c862-0%22	http://cablegate.wikileaks.org/cable/2009/10/09MOSCOW2529.html	cablegate.wikileaks.org/cable/2009/10/09MOSCOW2529.html	(from http://cablegate.wikileaks.org/)
15:47:30	32412/32412	---M--	200	added ('OK')	text/html	etag:%224004112-7e9c-0%22	http://cablegate.wikileaks.org/cable/2009/10/09MOSCOW2531.html	cablegate.wikileaks.org/cable/2009/10/09MOSCOW2531.html	(from http://cablegate.wikileaks.org/)
15:47:30	32535/32535	---M--	200	added ('OK')	text/html	etag:%22400410c-7f17-0%22	http://cablegate.wikileaks.org/cable/2009/10/09BERLIN1271.html	cablegate.wikileaks.org/cable/2009/10/09BERLIN1271.html	(from http://cablegate.wikileaks.org/)
15:47:31	38006/38006	---M--	200	added ('OK')	text/html	etag:%224004109-9476-0%22	http://cablegate.wikileaks.org/cable/2009/10/09ANKARA1472.html	cablegate.wikileaks.org/cable/2009/10/09ANKARA1472.html	(from http://cablegate.wikileaks.org/)
15:47:31	27312/27312	---M--	200	added ('OK')	text/html	etag:%22400410d-6ab0-0%22	http://cablegate.wikileaks.org/cable/2009/10/09BERLIN1296.html	cablegate.wikileaks.org/cable/2009/10/09BERLIN1296.html	(from http://cablegate.wikileaks.org/)
15:47:31	29030/29030	---M--	200	added ('OK')	text/html	etag:%224004110-7166-0%22	http://cablegate.wikileaks.org/cable/2009/10/09MANAMA611.html	cablegate.wikileaks.org/cable/2009/10/09MANAMA611.html	(from http://cablegate.wikileaks.org/)
15:47:31	30914/30914	---M--	200	added ('OK')	text/html	etag:%22400410b-78c2-0%22	http://cablegate.wikileaks.org/cable/2009/10/09BEIJING2932.html	cablegate.wikileaks.org/cable/2009/10/09BEIJING2932.html	(from http://cablegate.wikileaks.org/)
